year,month,day,hour,miniute,Temperature1,Temperature2,VaporPressure1,VaporPressure2,ShortwavRadiation,AverageNetRadiation,SoilTemperature,WaterContent2,Total Precipitation
2003,1,2,1,30,-18.29,-19.4,0.032,0.033,0,0,-10.12,0.065,0
2003,1,2,2,0,-17.05,-17.69,0.035,0.036,0.164,0,-10.27,0.065,0
2003,1,2,2,30,-18.56,-19.46,0.034,0.034,0,0,-10.41,0.065,0
2003,1,2,3,0,-19.91,-20.96,0.034,0.035,0,0,-10.55,0.065,0
2003,1,2,3,30,-19.57,-20.35,0.037,0.038,0.006,0,-10.7,0.064,0
2003,1,2,4,0,-21.19,-22.27,0.034,0.034,0.091,0,-10.84,0.064,0
2003,1,2,4,30,-22.13,-23.33,0.031,0.031,0.108,0,-10.99,0.064,0
2003,1,2,5,0,-24.74,-25.58,0.031,0.031,0,0,-11.14,0.064,0
2003,1,2,5,30,-22.09,-23.58,0.033,0.033,0.375,0,-11.31,0.064,0
2003,1,2,6,0,-22.3,-23.88,0.035,0.034,0.019,0,-11.46,0.064,0
2003,1,2,6,30,-21.09,-24.62,0.033,0.033,0.047,0,-11.61,0.064,0
2003,1,2,7,0,-21.55,-23.48,0.033,0.035,0.034,0,-11.75,0.063,0
2003,1,2,7,30,-22.47,-23.33,0.036,0.037,0.886,0,-11.87,0.063,0
2003,1,2,8,0,-20.5,-21.11,0.041,0.042,29.6,0,-11.99,0.063,0
2003,1,2,8,30,-13.35,-13.44,0.045,0.048,116.3,121,-12.07,0.063,0
2003,1,2,9,0,-11.28,-10.97,0.042,0.044,206.5,251.5,-12.05,0.063,0
2003,1,2,9,30,-10.41,-9.93,0.04,0.043,296.9,393.1,-11.95,0.063,0
2003,1,2,10,0,-9.73,-9.15,0.04,0.043,377.3,523.9,-11.76,0.063,0
2003,1,2,10,30,-8.87,-8.2,0.041,0.044,444.6,641.3,-11.46,0.063,0
2003,1,2,11,0,-8.21,-7.465,0.041,0.043,495.4,732.6,-11.07,0.063,0
2003,1,2,11,30,-7.195,-6.422,0.043,0.044,525.2,791.1,-10.64,0.063,0
2003,1,2,12,0,-6.243,-5.575,0.043,0.043,556.5,840,-10.12,0.063,0
2003,1,2,12,30,-5.833,-5.084,0.043,0.045,558.4,858,-9.58,0.063,0
2003,1,2,13,0,-5.145,-4.408,0.044,0.047,563.5,873,-9.06,0.063,0
2003,1,2,13,30,-4.531,-3.833,0.04,0.044,537.9,835,-8.55,0.064,0
2003,1,2,14,0,-4.61,-4.032,0.037,0.04,497.4,767.4,-8.11,0.064,0
2003,1,2,14,30,-4.691,-4.253,0.035,0.038,371.9,575.7,-7.75,0.064,0
2003,1,2,15,0,-4.754,-4.268,0.035,0.037,353.9,540.5,-7.486,0.064,0
2003,1,2,15,30,-4.852,-4.442,0.034,0.036,275.8,418.7,-7.281,0.065,0
2003,1,2,16,0,-5.086,-4.753,0.034,0.036,203.5,303.4,-7.135,0.065,0
2003,1,2,16,30,-5.97,-5.816,0.034,0.036,111.8,162.3,-7.068,0.065,0
2003,1,2,17,0,-7.74,-7.782,0.035,0.035,32.94,50.35,-7.096,0.065,0
2003,1,2,17,30,-12.13,-12.39,0.033,0.034,0.145,4.348,-7.212,0.065,0
2003,1,2,18,0,-14.25,-14.63,0.035,0.036,0.0725,0.019,-7.416,0.065,0
2003,1,2,18,30,-14.54,-14.84,0.041,0.042,0,0,-7.667,0.065,0
2003,1,2,19,0,-15.25,-15.6,0.041,0.041,0,0,-7.913,0.065,0
2003,1,2,19,30,-15.34,-15.67,0.04,0.041,0,0,-8.15,0.065,0
2003,1,2,20,0,-15.79,-16.1,0.04,0.041,0,0,-8.37,0.065,0
2003,1,2,20,30,-16.23,-16.57,0.039,0.04,0,0,-8.59,0.065,0
2003,1,2,21,0,-16.5,-17.04,0.039,0.039,0,0,-8.79,0.065,0
2003,1,2,21,30,-17.25,-17.71,0.038,0.039,0,0,-9,0.065,0
2003,1,2,22,0,-17.61,-18.01,0.037,0.038,0,0,-9.2,0.065,0
2003,1,2,22,30,-17.56,-18,0.037,0.037,0,0,-9.39,0.065,0
2003,1,2,23,0,-18.1,-18.44,0.036,0.036,0,0,-9.57,0.065,0
2003,1,2,23,30,-18.75,-19.18,0.036,0.036,0,0,-9.74,0.065,0
2003,1,3,0,0,-19.17,-19.64,0.036,0.036,0,0,-9.91,0.065,0
2003,1,3,0,30,-19.86,-20.42,0.035,0.035,0,0,-10.08,0.064,0
2003,1,3,1,0,-20.5,-21.1,0.034,0.035,0,0,-10.25,0.064,0
2003,1,3,1,30,-21.85,-22.28,0.033,0.034,0,0,-10.43,0.064,0
2003,1,3,2,0,-22.35,-22.97,0.034,0.034,0,0,-10.6,0.064,0
2003,1,3,2,30,-21.66,-22.32,0.033,0.034,0,0,-10.78,0.064,0
2003,1,3,3,0,-21.74,-22.26,0.036,0.036,0,0,-10.95,0.064,0
2003,1,3,3,30,-21.94,-22.4,0.034,0.035,0,0,-11.1,0.064,0
2003,1,3,4,0,-23.62,-24.07,0.033,0.034,0,0,-11.24,0.064,0
2003,1,3,4,30,-23.48,-24.28,0.032,0.032,0,0,-11.4,0.063,0
2003,1,3,5,0,-21.61,-22.38,0.034,0.035,0.185,0,-11.55,0.063,0
2003,1,3,5,30,-20.28,-20.8,0.034,0.035,0,0,-11.68,0.063,0
2003,1,3,6,0,-21.69,-22.27,0.031,0.032,0,0,-11.79,0.063,0
2003,1,3,6,30,-22.4,-23.06,0.032,0.033,0,0,-11.89,0.063,0
2003,1,3,7,0,-23.03,-23.47,0.031,0.032,0,0,-12.01,0.063,0
2003,1,3,7,30,-21.94,-22.46,0.034,0.035,1.397,0,-12.12,0.063,0
2003,1,3,8,0,-19.02,-19.39,0.035,0.036,30.31,0,-12.22,0.062,0
2003,1,3,8,30,-15.35,-15.29,0.045,0.046,116.5,123.6,-12.28,0.062,0
2003,1,3,9,0,-11.94,-11.63,0.043,0.045,209.2,256.9,-12.28,0.062,0
2003,1,3,9,30,-12.13,-11.7,0.041,0.043,299.2,400.6,-12.22,0.062,0
2003,1,3,10,0,-9.4,-8.89,0.045,0.047,381.4,536.6,-12.06,0.062,0
2003,1,3,10,30,-8.87,-8.24,0.043,0.046,449.6,656.2,-11.74,0.062,0
2003,1,3,11,0,-7.469,-6.745,0.043,0.046,504.3,751.4,-11.31,0.062,0
2003,1,3,11,30,-6.567,-5.874,0.038,0.04,542.4,827,-10.82,0.062,0
2003,1,3,12,0,-5.701,-4.967,0.037,0.04,561.5,877,-10.25,0.062,0
2003,1,3,12,30,-5.291,-4.475,0.04,0.043,566.7,898,-9.62,0.062,0
2003,1,3,13,0,-4.503,-3.633,0.044,0.047,557.6,889,-9.01,0.063,0
2003,1,3,13,30,-3.922,-3.014,0.047,0.05,534.8,853,-8.44,0.063,0
2003,1,3,14,0,-3.556,-2.738,0.049,0.052,492.9,789.9,-7.927,0.063,0
2003,1,3,14,30,-3.186,-2.418,0.05,0.053,435,699.6,-7.47,0.064,0
2003,1,3,15,0,-2.917,-2.231,0.054,0.056,369.5,588.4,-7.071,0.064,0
2003,1,3,15,30,-3.037,-2.468,0.056,0.055,293.3,459.7,-6.762,0.064,0
2003,1,3,16,0,-3.193,-2.775,0.056,0.055,207,319.5,-6.559,0.064,0
2003,1,3,16,30,-3.925,-3.69,0.056,0.056,116.6,176,-6.458,0.065,0
2003,1,3,17,0,-5.558,-5.592,0.053,0.055,33.49,55.07,-6.472,0.065,0
2003,1,3,17,30,-10.71,-11.06,0.048,0.049,0.003,4.98,-6.58,0.065,0
2003,1,3,18,0,-14.02,-14.26,0.048,0.049,0.0015,0.027,-6.782,0.065,0
2003,1,3,18,30,-15.07,-15.43,0.048,0.048,0,0,-7.038,0.065,0
2003,1,3,19,0,-15.6,-15.89,0.049,0.049,0,0,-7.306,0.065,0
2003,1,3,19,30,-14.73,-15.1,0.052,0.052,0,0,-7.563,0.065,0
2003,1,3,20,0,-14.52,-14.84,0.052,0.052,0,0,-7.8,0.065,0
2003,1,3,20,30,-15.76,-16.39,0.049,0.049,0,0,-8.02,0.065,0
2003,1,3,21,0,-17.01,-18.03,0.047,0.047,0.002,0,-8.24,0.065,0
2003,1,3,21,30,-17.21,-17.94,0.046,0.047,0.153,0,-8.47,0.065,0
2003,1,3,22,0,-17.69,-18.61,0.052,0.052,0.015,0,-8.69,0.065,0
2003,1,3,22,30,-16.84,-18.78,0.047,0.047,0,0,-8.91,0.065,0
2003,1,3,23,0,-18.31,-20.04,0.046,0.045,0,0,-9.12,0.065,0
2003,1,3,23,30,-17.89,-21.11,0.045,0.044,0.16,0,-9.33,0.065,0
2003,1,4,0,0,-16.62,-17.96,0.046,0.049,0.92,0,-9.53,0.065,0
2003,1,4,0,30,-17.34,-18.59,0.046,0.047,0.002,0,-9.71,0.065,0
2003,1,4,1,0,-20.13,-20.87,0.044,0.045,0,0,-9.86,0.065,0
2003,1,4,1,30,-19.68,-20.83,0.045,0.045,0.017,0,-10.02,0.064,0
2003,1,4,2,0,-20.83,-22.14,0.042,0.043,0,0,-10.17,0.064,0
2003,1,4,2,30,-21.31,-22.15,0.045,0.046,0,0,-10.32,0.064,0
2003,1,4,3,0,-21.85,-22.45,0.046,0.046,0,0,-10.47,0.064,0
2003,1,4,3,30,-21.83,-22.95,0.046,0.045,0,0,-10.61,0.064,0
2003,1,4,4,0,-20.25,-22.44,0.046,0.045,0,0,-10.75,0.064,0
2003,1,4,4,30,-22.06,-22.9,0.045,0.046,0,0,-10.89,0.064,0
2003,1,4,5,0,-22.16,-23.02,0.047,0.047,0,0,-11.01,0.063,0
2003,1,4,5,30,-20.94,-22.92,0.047,0.046,0,0,-11.13,0.063,0
2003,1,4,6,0,-22.77,-23.75,0.045,0.046,0,0,-11.24,0.063,0
2003,1,4,6,30,-21.55,-23.21,0.05,0.048,0,0,-11.35,0.063,0
2003,1,4,7,0,-20.77,-23.98,0.045,0.043,0,0,-11.46,0.063,0
2003,1,4,7,30,-22.81,-24.44,0.043,0.043,1.43,0,-11.57,0.063,0
2003,1,4,8,0,-21.99,-23.23,0.049,0.049,35.26,0,-11.69,0.063,0
2003,1,4,8,30,-14.47,-14.6,0.065,0.068,129.2,141.8,-11.8,0.063,0
2003,1,4,9,0,-11.72,-11.45,0.064,0.065,207.8,262.7,-11.84,0.063,0
2003,1,4,9,30,-10.46,-9.97,0.067,0.069,298.5,406,-11.8,0.062,0
2003,1,4,10,0,-9.29,-8.75,0.07,0.072,379.4,541.7,-11.65,0.062,0
2003,1,4,10,30,-8.38,-7.731,0.069,0.072,439.2,649.8,-11.32,0.062,0
2003,1,4,11,0,-7.449,-6.704,0.068,0.072,500.2,753.6,-10.9,0.062,0
2003,1,4,11,30,-6.844,-5.992,0.066,0.07,543.6,833,-10.43,0.062,0
2003,1,4,12,0,-6.054,-5.284,0.061,0.064,567.1,885,-9.88,0.063,0
2003,1,4,12,30,-5.023,-4.203,0.056,0.058,567.1,903,-9.26,0.063,0
2003,1,4,13,0,-4.732,-3.971,0.052,0.053,481.4,779.8,-8.64,0.063,0
2003,1,4,13,30,-3.892,-3.143,0.054,0.054,534.4,863,-8.07,0.063,0
2003,1,4,14,0,-3.183,-2.354,0.059,0.06,516,837,-7.542,0.064,0
2003,1,4,14,30,-3.147,-2.362,0.059,0.059,426.7,690,-7.036,0.064,0
2003,1,4,15,0,-3.541,-3.03,0.059,0.06,254.2,419.1,-6.604,0.064,0
2003,1,4,15,30,-4.521,-4.186,0.057,0.06,181.2,297.7,-6.327,0.064,0
2003,1,4,16,0,-5.807,-5.591,0.06,0.063,116.9,194.1,-6.191,0.065,0
2003,1,4,16,30,-6.868,-6.81,0.062,0.064,56.8,97,-6.139,0.065,0
2003,1,4,17,0,-8.37,-8.7,0.06,0.06,16.8,35.33,-6.179,0.065,0
2003,1,4,17,30,-12.32,-13.13,0.052,0.052,22.37266667,3.718,-6.316,0.065,0
2003,1,4,18,0,-13.81,-15.67,0.052,0.049,27.94533333,0.019,-6.535,0.065,0
2003,1,4,18,30,-14.28,-15.22,0.054,0.053,0.082,0,-6.786,0.065,0
2003,1,4,19,0,-13.63,-14.22,0.056,0.056,0.112,0,-7.041,0.065,0
2003,1,4,19,30,-13.53,-14.05,0.058,0.058,0.053,0,-7.284,0.065,0
2003,1,4,20,0,-14.41,-15.03,0.057,0.058,0,0,-7.507,0.065,0
2003,1,4,20,30,-13.51,-14.41,0.057,0.057,0,0,-7.722,0.065,0
2003,1,4,21,0,-14.77,-15.92,0.054,0.054,0.003,0,-7.919,0.065,0
2003,1,4,21,30,-14.78,-17.06,0.05,0.05,0,0,-8.11,0.065,0
2003,1,4,22,0,-19.55,-20.37,0.045,0.046,0,0,-8.32,0.065,0
2003,1,4,22,30,-20.61,-21.09,0.048,0.048,0.011,0,-8.55,0.065,0
2003,1,4,23,0,-17.54,-18.03,0.057,0.057,0.093,0,-8.78,0.065,0
2003,1,4,23,30,-16.93,-17.34,0.056,0.057,0,0,-8.98,0.065,0
2003,1,5,0,0,-17.18,-17.68,0.055,0.056,0,0,-9.15,0.065,0
2003,1,5,0,30,-16.46,-16.87,0.053,0.055,0.048,0,-9.31,0.065,0
2003,1,5,1,0,-19.85,-20.44,0.049,0.049,0,0,-9.45,0.065,0
2003,1,5,1,30,-21.73,-22.64,0.046,0.045,0,0,-9.62,0.065,0
2003,1,5,2,0,-22.63,-23.44,0.045,0.045,0,0,-9.81,0.065,0
2003,1,5,2,30,-21.6,-22.28,0.048,0.048,0,0,-10.01,0.064,0
2003,1,5,3,0,-20.21,-20.76,0.051,0.051,0,0,-10.18,0.064,0
2003,1,5,3,30,-20.91,-21.41,0.049,0.05,0,0,-10.34,0.064,0
2003,1,5,4,0,-20.69,-21.26,0.052,0.052,0,0,-10.48,0.064,0
2003,1,5,4,30,-19.11,-19.73,0.053,0.053,0,0,-10.61,0.064,0
2003,1,5,5,0,-18.27,-18.76,0.049,0.051,0,0,-10.74,0.064,0
2003,1,5,5,30,-20.19,-21.03,0.045,0.045,0,0,-10.85,0.063,0
2003,1,5,6,0,-21.85,-23,0.044,0.043,0,0,-10.97,0.063,0
2003,1,5,6,30,-20.71,-21.63,0.047,0.047,0.245,0,-11.11,0.063,0
2003,1,5,7,0,-18.4,-21.03,0.046,0.043,0.236,0,-11.25,0.063,0
2003,1,5,7,30,-21.58,-25.67,0.038,0.035,0.185,0,-11.4,0.063,0
2003,1,5,8,0,-22.13,-22.75,0.05,0.051,28.8,0,-11.56,0.063,0
2003,1,5,8,30,-15.79,-16.01,0.06,0.062,113.3,121.2,-11.69,0.063,0
2003,1,5,9,0,-12.96,-12.71,0.058,0.059,203.6,252.9,-11.74,0.063,0
2003,1,5,9,30,-11.38,-10.96,0.063,0.065,296.1,400.3,-11.72,0.063,0
2003,1,5,10,0,-10.88,-10.32,0.062,0.064,376,530.4,-11.6,0.062,0
2003,1,5,10,30,-9.98,-9.32,0.059,0.062,447.3,653.1,-11.3,0.062,0
2003,1,5,11,0,-8.49,-7.735,0.057,0.06,503.3,751.7,-10.9,0.062,0
2003,1,5,11,30,-7.791,-7.007,0.057,0.06,542.2,824,-10.44,0.062,0
2003,1,5,12,0,-6.416,-5.61,0.057,0.061,567,878,-9.9,0.063,0
2003,1,5,12,30,-6.036,-5.136,0.054,0.058,572,902,-9.28,0.063,0
2003,1,5,13,0,-5.132,-4.262,0.057,0.06,564.6,896,-8.69,0.063,0
2003,1,5,13,30,-4.819,-3.993,0.057,0.06,538.8,859,-8.13,0.063,0
2003,1,5,14,0,-4.398,-3.557,0.057,0.059,497.1,793.8,-7.625,0.064,0
2003,1,5,14,30,-4.226,-3.456,0.056,0.057,439.3,700.7,-7.175,0.064,0
2003,1,5,15,0,-3.805,-3.026,0.056,0.056,369.8,590.3,-6.787,0.064,0
2003,1,5,15,30,-3.682,-3.009,0.054,0.053,292.7,459.5,-6.473,0.064,0
2003,1,5,16,0,-4.204,-3.755,0.05,0.049,212.3,323.9,-6.264,0.065,0
2003,1,5,16,30,-4.972,-4.722,0.048,0.047,123.8,183.9,-6.175,0.065,0
2003,1,5,17,0,-7.137,-7.113,0.044,0.044,35.46,58.36,-6.209,0.065,0
2003,1,5,17,30,-13.72,-14.23,0.037,0.038,47.28,5.663,-6.357,0.065,0
2003,1,5,18,0,-15.47,-15.89,0.038,0.038,59.1,0.033,-6.611,0.065,0
2003,1,5,18,30,-16.13,-16.59,0.038,0.039,0,0,-6.905,0.065,0
2003,1,5,19,0,-15.93,-16.39,0.041,0.041,0,0,-7.202,0.065,0
2003,1,5,19,30,-15.23,-15.66,0.043,0.044,0,0,-7.481,0.065,0
2003,1,5,20,0,-16.22,-17.05,0.043,0.042,0,0,-7.733,0.065,0
2003,1,5,20,30,-15.23833333,-16.00833333,0.052666667,0.052166667,0.0465,0,-7.696333333,0.064833333,0
2003,1,5,21,0,-15.61666667,-16.355,0.051333333,0.0515,0.022666667,0,-7.920333333,0.064833333,0
2003,1,5,21,30,-15.78,-16.36833333,0.052666667,0.053166667,0.034333333,0,-8.140666667,0.064833333,0
2003,1,5,22,0,-16.47166667,-17.24833333,0.050833333,0.051333333,0.0025,0,-8.353666667,0.064833333,0
2003,1,5,22,30,-16.42,-17.37166667,0.050166667,0.050333333,0.002166667,0,-8.562,0.064666667,0
2003,1,5,23,0,-16.85,-17.88,0.052666667,0.052833333,0.001,0,-8.7615,0.064666667,0
2003,1,5,23,30,-17.04666667,-18.32333333,0.053833333,0.054166667,0.026833333,0,-8.946666667,0.0645,0
2003,1,6,0,0,-18.05833333,-18.925,0.054,0.054,0.153333333,0,-9.128333333,0.0645,0
2003,1,6,0,30,-18.63666667,-19.74666667,0.053833333,0.053333333,0.002166667,0,-9.31,0.064333333,0
2003,1,6,1,0,-19.62666667,-20.40166667,0.05,0.05,0.0155,0,-9.483333333,0.064333333,0
2003,1,6,1,30,-20.16333333,-21.18333333,0.0495,0.048,0.002833333,0,-9.663333333,0.064166667,0
2003,1,6,2,0,-20.085,-21.33,0.052166667,0.050833333,0.000166667,0,-9.84,0.064166667,0
2003,1,6,2,30,-20.25666667,-21.09,0.053166667,0.052333333,0.008,0,-10.01333333,0.064166667,0
2003,1,6,3,0,-20.91,-21.5,0.055166667,0.0545,0,0,-10.17666667,0.064166667,0
2003,1,6,3,30,-20.935,-21.71,0.0555,0.055,0.083166667,0,-10.33166667,0.064166667,0
2003,1,6,4,0,-21.07333333,-22.07166667,0.058,0.057333333,0.049666667,0,-10.47666667,0.064,0
2003,1,6,4,30,-21.14666667,-22.25833333,0.055666667,0.054833333,0.000166667,0,-10.62166667,0.0635,0
2003,1,6,5,0,-21.09666667,-21.78333333,0.054166667,0.054166667,0.035,0,-10.755,0.063333333,0
2003,1,6,5,30,-20.88833333,-21.71666667,0.052,0.051333333,0,0,-10.88833333,0.063333333,0
2003,1,6,6,0,-21.52666667,-22.53,0.049666667,0.048333333,0.011,0,-11.01666667,0.063333333,0
2003,1,6,6,30,-21.33666667,-22.37,0.050166667,0.0495,0.0005,0,-11.145,0.063166667,0
2003,1,6,7,0,-21.01666667,-22.24666667,0.051333333,0.049333333,0.050333333,0,-11.27666667,0.063166667,0
2003,1,6,7,30,-21.21,-22.11666667,0.051166667,0.05,0.550666667,0,-11.39833333,0.062833333,0
2003,1,6,8,0,-21.07333333,-21.835,0.055166667,0.055166667,10.92833333,0,-11.515,0.0625,0
2003,1,6,8,30,-19.02166667,-19.76,0.0605,0.060333333,41.21966667,45.5815,-11.61833333,0.0625,0
2003,1,6,9,0,-17.49833333,-18.30833333,0.060333333,0.060666667,84.09766667,104.1373333,-11.69666667,0.0625,0
2003,1,6,9,30,-15.04,-15.63,0.074833333,0.076666667,163.4308333,196.9851667,-11.75,0.062333333,0
2003,1,6,10,0,-12.60666667,-12.4,0.077166667,0.079333333,235.2,303.4433333,-11.73166667,0.062333333,0
2003,1,6,10,30,-11.32166667,-10.9285,0.076333333,0.078833333,306.1666667,426.1333333,-11.61166667,0.062166667,0
2003,1,6,11,0,-9.841333333,-9.269833333,0.075166667,0.078,383.9833333,551.85,-11.39666667,0.062166667,0
2003,1,6,11,30,-8.495166667,-7.849,0.0695,0.072166667,449.95,666.8333333,-11.08833333,0.062166667,0
2003,1,6,12,0,-7.477166667,-6.779166667,0.067166667,0.070166667,499.7666667,756.2333333,-10.69,0.062166667,0
2003,1,6,12,30,-6.682166667,-5.920166667,0.065333333,0.068333333,523.5333333,808.9833333,-10.21333333,0.062333333,0
2003,1,6,13,0,-5.858,-5.069,0.056,0.059,569.2,885,-10.21,0.062,0
2003,1,6,13,30,-5.231,-4.373,0.057,0.061,577.1,907,-9.57,0.062,0
2003,1,6,14,0,-4.659,-3.785,0.058,0.061,571.8,902,-8.95,0.063,0
2003,1,6,14,30,-3.975,-3.082,0.056,0.058,524.6,834,-8.38,0.063,0
2003,1,6,15,0,-3.768,-2.917,0.055,0.055,483.2,773.5,-7.864,0.063,0
2003,1,6,15,30,-3.4,-2.599,0.056,0.056,445.9,709.6,-7.428,0.063,0
2003,1,6,16,0,-3.167,-2.524,0.05,0.052,380.4,597.9,-7.051,0.064,0
2003,1,6,16,30,-3.296,-2.692,0.049,0.052,306.1,474.4,-6.765,0.064,0
2003,1,6,17,0,-3.541,-3.051,0.049,0.051,214.9,329.4,-6.579,0.064,0
2003,1,6,17,30,-4.905,-4.754,0.048,0.048,92.5,145.8,-6.488,0.064,0
2003,1,6,18,0,-5.925,-5.932,0.049,0.049,40.71,63.57,-6.517,0.064,0
2003,1,6,18,30,-12.1,-12.39,0.044,0.045,0,0,-6.631,0.065,0
2003,1,6,19,0,-14.84,-15.18,0.043,0.044,0,0,-6.843,0.065,0
2003,1,6,19,30,-16.92,-17.23,0.042,0.042,0,0,-7.116,0.065,0
2003,1,6,20,0,-18.37,-18.8,0.042,0.042,0,0,-7.409,0.065,0
2003,1,6,20,30,-18.24,-19.29,0.045,0.043,0.197,0,-7.705,0.065,0
2003,1,6,21,0,-17.21,-18.67,0.044,0.044,0.022,0,-8,0.065,0
2003,1,6,21,30,-17.69,-18.57,0.048,0.048,0,0,-8.28,0.065,0
2003,1,6,22,0,-18.04,-19,0.047,0.047,0,0,-8.54,0.065,0
2003,1,6,22,30,-20.18,-21.12,0.043,0.043,0,0,-8.78,0.065,0
2003,1,6,23,0,-20.62,-21.62,0.043,0.043,0,0,-9.01,0.065,0
2003,1,6,23,30,-20.64,-21.31,0.046,0.046,0,0,-9.24,0.064,0
2003,1,7,0,0,-20.54,-21.14,0.047,0.047,0,0,-9.46,0.064,0
2003,1,7,0,30,-18.99,-22.13,0.048,0.044,0,0,-9.66,0.064,0
2003,1,7,1,0,-21.85,-23.24,0.041,0.042,0,0,-9.85,0.064,0
2003,1,7,1,30,-23.45,-24.16,0.042,0.041,0,0,-10.05,0.064,0
2003,1,7,2,0,-23.42,-24.97,0.042,0.039,0,0,-10.24,0.064,0
